"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"HALLMARK_E2F_TARGETS","HALLMARK_E2F_TARGETS","HALLMARK_E2F_TARGETS",191,0.587569137435419,2.6883170417622,2.24423785018308e-20,1.12211892509154e-18,6.14212464260634e-19,3555,"tags=70%, list=28%, signal=51%","AURKB/KIF4A/CDC25A/CENPE/LMNB1/GINS1/AURKA/ORC6/KIF2C/KIF22/HMGA1/UBE2T/PRPS1/ASF1B/RFC3/MYBL2/CDK1/TOP2A/CDKN2A/TRIP13/NME1/USP1/MAD2L1/LIG1/TCF19/DCTPP1/SPAG5/CTPS1/DCK/MELK/DIAPH3/UBR7/MKI67/CCNB2/PLK1/MCM5/CKS2/UBE2S/RAD51AP1/ESPL1/DCLRE1B/TUBB/BUB1B/TACC3/MMS22L/TUBG1/LYAR/MCM3/RFC2/RRM2/XPO1/KPNA2/TIMELESS/SPC24/ATAD2/SHMT1/TMPO/POLA2/CDKN3/RFC1/SRSF1/CENPM/DEPDC1/ZW10/SUV39H1/POLD3/RACGAP1/CHEK2/EXOSC8/RNASEH2A/HNRNPD/DNMT1/PA2G4/CKS1B/EZH2/POLE/NUP205/GINS4/CDC20/BRCA1/LBR/EED/CBX5/ANP32E/CCNE1/ORC2/NOLC1/HELLS/AK2/SMC4/SMC1A/SNRPB/PCNA/MSH2/NUDT21/BIRC5/PHF5A/CDCA8/DONSON/DLGAP5/WDR90/TIPIN/SMC6/HMGB3/RPA1/PLK4/CSE1L/POLD2/CDCA3/CTCF/NASP/SSRP1/TRA2B/NOP56/XRCC6/PTTG1/MCM7/NBN/SYNCRIP/MCM6/GINS3/TK1/NUP153/SLBP/SRSF2/DDX39A/POP7/RAD51C/ILF3/RAN/TFRC/EIF2S1/CDKN2C/TBRG4"
"HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_INTERFERON_GAMMA_RESPONSE",147,-0.670823859672244,-2.34916935389124,7.26545559926241e-16,1.8163638998156e-14,9.94220239899067e-15,2005,"tags=50%, list=16%, signal=43%","NAMPT/PARP12/TNFAIP2/NOD1/SAMD9L/BTG1/STAT3/XAF1/GBP4/TRIM25/LY6E/VAMP8/FGL2/HLA-A/MTHFD2/HLA-DMA/RNF213/SAMHD1/PML/B2M/NFKBIA/NMI/IRF2/PSMB8/CD40/SOD2/VAMP5/TNFAIP6/LATS2/HLA-B/ARID5B/HERC6/PLSCR1/IFITM2/IL15RA/PSME1/SSPN/DDX60/STAT1/LGALS3BP/STAT2/IFI35/UBE2L6/GCH1/ISG20/IFI27/IFITM3/STAT4/SOCS3/IL15/DHX58/MX1/PARP14/IL6/BST2/TXNIP/IRF1/IFIT1/OAS3/CCL2/PSMB9/APOL6/SERPING1/CFB/IFIT2/EPSTI1/PIM1/IFIT3/SECTM1/C1S/CASP1/VCAM1/ICAM1/C1R"
"HALLMARK_G2M_CHECKPOINT","HALLMARK_G2M_CHECKPOINT","HALLMARK_G2M_CHECKPOINT",186,0.529890916316359,2.39721254452711,3.46284567046539e-15,5.77140945077564e-14,3.1590872783193e-14,2354,"tags=48%, list=19%, signal=40%","MT2A/AURKB/CDC7/KIF4A/CCNF/CDC25A/RAD54L/CENPE/LMNB1/AURKA/ORC6/KIF2C/POLQ/KIF22/HMGA1/TRAIP/DBF4/E2F1/NEK2/UBE2C/STIL/EXO1/MYBL2/TGFB1/CDK1/TOP2A/KIF11/CDC6/SMC2/TPX2/CCND1/MAD2L1/INCENP/CENPA/CDC45/MKI67/CCNB2/SLC7A1/PLK1/MCM5/TTK/FBXO5/CKS2/ORC5/RBL1/UBE2S/ESPL1/TACC3/PRC1/MCM3/PBK/XPO1/KPNA2/GINS2/BUB1/PRMT5/FANCC/TMPO/POLA2/CDKN3/SRSF1/SUV39H1/RACGAP1/SLC12A2/HNRNPD/CKS1B/NUP50/EZH2/POLE/SNRPD1/CENPF/CDC20/CCNA2/HSPA8/LBR/NUSAP1/NOLC1/TROAP/HIRA/G3BP1/AMD1/SMC4/SQLE/SMC1A/MNAT1/PURA/BIRC5/CHAF1A/CDC27/KIF15"
"HALLMARK_INTERFERON_ALPHA_RESPONSE","HALLMARK_INTERFERON_ALPHA_RESPONSE","HALLMARK_INTERFERON_ALPHA_RESPONSE",79,-0.709479336265815,-2.31512774020175,2.33825368470705e-11,2.92281710588382e-10,1.59985778427325e-10,1970,"tags=58%, list=16%, signal=49%","IRF9/ELF1/PARP9/OAS1/PARP12/SAMD9L/NCOA7/GBP4/TRIM25/LY6E/B2M/NMI/IRF2/PSMB8/UBA7/HERC6/GMPR/PLSCR1/IFITM2/LPAR6/GBP2/PSME1/DDX60/LGALS3BP/STAT2/IFI35/UBE2L6/ISG20/IFI27/IFITM1/IFITM3/IL15/DHX58/MX1/PARP14/CSF1/BST2/TXNIP/IRF1/PSMB9/IFIT2/EPSTI1/IFIT3/C1S/TMEM140/CASP1"
"HALLMARK_MYC_TARGETS_V1","HALLMARK_MYC_TARGETS_V1","HALLMARK_MYC_TARGETS_V1",193,0.46290782361171,2.11972147877433,1.06914507290686e-10,1.06914507290686e-09,5.85216250433231e-10,3913,"tags=58%, list=31%, signal=40%","PSMA6/CDK2/NME1/USP1/MAD2L1/CTPS1/CDC45/HNRNPA3/SNRPA1/PSMD14/MCM5/SRM/RRM1/SRPK1/ABCE1/EIF4E/PSMA4/PSMC4/CSTF2/POLE3/XPO1/KPNA2/YWHAQ/DDX21/RRP9/HSP90AB1/CANX/SRSF1/PSMB2/CCT5/HNRNPD/LSM7/PA2G4/RPL22/RPL14/NOP16/SNRPD1/HNRNPA2B1/CDC20/HDGF/CCNA2/PSMD1/CYC1/ERH/ORC2/PPIA/NOLC1/PSMA7/UBE2L3/TYMS/G3BP1/DHX15/ACP1/SSBP1/PSMD3/TARDBP/PCNA/NCBP1/MRPL9/AIMP2/VDAC3/PSMC6/PRPS2/C1QBP/CCT2/POLD2/PSMB3/ODC1/PPM1G/RNPS1/SNRPA/EIF4G2/HPRT1/CCT7/TXNL4A/DDX18/YWHAE/SF3B3/TRA2B/HSPD1/NOP56/ILF2/SRSF7/XRCC6/MCM7/SYNCRIP/HSPE1/MCM6/SMARCC1/PCBP1/SRSF2/CAD/CCT4/BUB3/FBL/RAN/PTGES3/PWP1/NDUFAB1/EIF2S1/SF3A1/CCT3/RANBP1/EIF1AX/U2AF1/GSPT1/MYC/LSM2/GOT2/MCM4/AP3S1"
"HALLMARK_IL6_JAK_STAT3_SIGNALING","HALLMARK_IL6_JAK_STAT3_SIGNALING","HALLMARK_IL6_JAK_STAT3_SIGNALING",55,-0.698888137909224,-2.15067386580486,7.00274875007325e-08,5.83562395839437e-07,3.19423627196324e-07,976,"tags=36%, list=8%, signal=34%","CD14/JUN/CD36/IL15RA/OSMR/STAT1/STAT2/LEPR/SOCS3/CSF1/IL6/IRF1/IL6ST/CXCL1/MAP3K8/IL1R1/PIM1/IL1B/A2M/PLA2G2A"
"HALLMARK_INFLAMMATORY_RESPONSE","HALLMARK_INFLAMMATORY_RESPONSE","HALLMARK_INFLAMMATORY_RESPONSE",109,-0.558615414356342,-1.88642952501089,3.58042385366518e-06,2.55744560976084e-05,1.39986496534278e-05,1379,"tags=36%, list=11%, signal=32%","NFKBIA/AHR/NMI/CD40/ACVR2A/GABBR1/TNFAIP6/BTG2/CD14/PCDH7/IL15RA/OLR1/ADORA2B/CD55/OSMR/GCH1/IFITM1/IL15/KCNJ2/IL18/CSF1/IL1A/IL6/BST2/IRF1/ITGB8/CD82/ADM/PTPRE/RASGRP1/TLR3/CCL2/IL1R1/CXCL6/IL1B/ABCA1/ICAM1/BEST1/TNFSF15"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_TNFA_SIGNALING_VIA_NFKB",165,-0.507555756113817,-1.79187060849638,5.00823483652046e-06,3.13014677282529e-05,1.71334349670437e-05,1226,"tags=33%, list=10%, signal=30%","DUSP2/BCL6/BIRC3/SOD2/ZFP36/TNFAIP6/BTG2/SIK1/CEBPB/JUN/FOSL2/IRS2/IL15RA/OLR1/VEGFA/CCNL1/ZC3H12A/DRAM1/JAG1/SMAD3/TGIF1/GCH1/HES1/JUNB/TNC/FOSB/SOCS3/IL18/MSC/CSF1/BCL3/NR4A3/STAT5A/IL1A/IL6/PTX3/LITAF/IRF1/EGR1/KLF9/TNFAIP8/IL6ST/CEBPD/CXCL1/PTPRE/CCL2/MAP3K8/CXCL6/IFIT2/IL1B/ABCA1/ATF3/ICAM1/FOS/CXCL2"
"HALLMARK_MITOTIC_SPINDLE","HALLMARK_MITOTIC_SPINDLE","HALLMARK_MITOTIC_SPINDLE",187,0.343468014589696,1.55963261634917,9.96732516262933e-05,0.000553740286812741,0.000303099946465921,2360,"tags=30%, list=19%, signal=25%","PALLD/KIF4A/CENPE/SHROOM2/LMNB1/AURKA/KIF2C/APC/NET1/KIF22/SSH2/NEK2/CDK1/TOP2A/KIF11/TPX2/INCENP/CCNB2/KNTC1/ECT2/CENPJ/DOCK4/PLK1/TTK/FBXO5/PDLIM5/FGD4/FSCN1/ESPL1/DOCK2/ANLN/PRC1/EZR/OPHN1/PXN/BUB1/RFC1/TUBGCP3/RACGAP1/TUBGCP5/ARHGAP10/CNTRL/CENPF/GEMIN4/RASA1/NUSAP1/SHROOM1/STK38L/ARHGDIA/SMC4/SMC1A/KLC1/BIRC5/CDC27/ARFIP2/KIF15/KIF3C"
"HALLMARK_COMPLEMENT","HALLMARK_COMPLEMENT","HALLMARK_COMPLEMENT",125,-0.49767230802285,-1.7143272806171,0.000202914204970464,0.00101457102485232,0.000555344139919163,1280,"tags=22%, list=10%, signal=20%","DPP4/IRF2/LGALS3/CTSS/CPQ/CEBPB/PLSCR1/CD36/OLR1/CTSO/CD55/APOBEC3G/LIPA/F10/CASP10/IL6/IRF1/CXCL1/RASGRP1/PSMB9/SERPING1/CFB/PIM1/C1S/CASP1/C1R/C3"
"HALLMARK_MYC_TARGETS_V2","HALLMARK_MYC_TARGETS_V2","HALLMARK_MYC_TARGETS_V2",56,0.499956605434707,1.87118328398073,0.000236749732412756,0.00107613514733071,0.000589042396433651,3904,"tags=66%, list=31%, signal=46%","SLC19A1/DCTPP1/TCOF1/PLK1/MCM5/SRM/NOP2/RRP12/RRP9/NDUFAF4/PA2G4/WDR74/NOP16/NIP7/NOLC1/GRWD1/IPO4/RABEPK/BYSL/LAS1L/NOC4L/PPRC1/AIMP2/IMP4/TFB2M/PLK4/DDX18/HSPD1/NOP56/HSPE1/MYBBP1A/MRTO4/TBRG4/MYC/WDR43/MCM4/FARSA"
"HALLMARK_ALLOGRAFT_REJECTION","HALLMARK_ALLOGRAFT_REJECTION","HALLMARK_ALLOGRAFT_REJECTION",94,-0.494887742406273,-1.64874429493377,0.00176495748809628,0.00678829803113955,0.00371569997493954,1639,"tags=26%, list=13%, signal=22%","HLA-A/GCNT1/HLA-DMA/HLA-E/B2M/CD40/ACVR2A/CTSS/INHBB/GBP2/STAT1/STAT4/IL15/IL18/CSF1/BCL3/IL6/ITGB2/TLR3/CCL2/IL1B/ICAM1/CD7/CCL13"
